id,saleprice
2658,132110.48456739684
2718,182145.23426492707
2414,233001.91960691492
1989,101647.95976887515
625,166300.60052632188
333,100262.08062268455
1327,111748.17121054768
858,146996.14502744668
95,184819.88571761103
1568,160645.27864898168
2482,156118.09857390108
1364,114947.83128831163
2584,146631.4859561045
818,263215.1353424452
2673,154489.2443265654
2089,125801.585225477
1297,155101.14452216195
790,116550.57212046841
2616,195715.9662906042
720,209014.26336752297
222,141696.1957870904
557,122635.58700615374
1148,184064.17892395603
2766,169444.6846741338
534,178407.5932477782
1452,120586.76379810393
630,150399.21518775276
2648,129685.27028603663
125,151745.02029216752
1904,53936.14076443993
1670,108472.10249282692
756,105942.84189066013
717,234222.53314834577
1032,160631.3110387864
852,205663.1056190197
1731,200091.67568571525
2639,130790.45585679958
2071,72106.56402168298
1267,107646.6094876444
1851,188794.08627339735
567,171679.52018346018
2439,208280.84181139193
1898,142879.21933294658
647,163199.80655378388
2256,223081.59429482504
979,108355.36902557686
1444,216547.31503126537
2485,122183.47859859059
157,114503.37609185511
88,127320.72606914162
2003,113596.93388709234
186,207067.40289958642
1425,250109.9124824153
2695,127143.36947430437
738,105159.31837501803
395,147275.43711689892
1353,157112.63598169712
1878,157285.18116264674
390,164096.40149884476
1456,231864.52039347857
1103,316374.8099406531
1387,147249.6590680636
2070,143870.04912868427
1199,174737.1952282039
2479,170560.70491364732
501,298638.5454922427
2362,99171.65943667863
1718,211464.4790449094
2188,83936.42665385622
1483,155699.9297368129
2557,79726.8528961548
437,365309.75914450025
2224,207359.156196337
1628,169375.1718431463
397,117947.29709650954
587,201886.5102824167
971,146864.570688613
2611,145086.61826742746
1887,78213.36678611411
2399,382535.224135814
2148,193577.36887404192
304,127177.4395354071
1997,134813.75444874677
2817,127125.8836536849
1431,207046.19259343238
427,330253.97115240176
263,116840.44686611148
598,192710.61108852012
2895,241153.13340070317
687,146337.49496418855
1822,130585.92304909934
2191,109546.30860532328
179,105064.33645181774
1009,221995.35041581868
2010,122076.40657330942
1991,143234.21074605055
1411,189118.51941099716
1721,242805.7852360109
1144,182042.59961798968
593,223413.6955729012
575,321213.64823129727
1249,165888.11157845767
1604,126546.92249658571
1064,492222.5576471215
1923,153184.84022687277
1988,93411.86897369496
2325,173299.90582004667
114,206935.56643341438
2700,180597.1869479411
217,149339.41111488309
343,186490.4327536758
386,229930.81026294868
2005,118073.13088370702
2908,130552.64666427695
1814,255690.0146569718
2446,513282.51034940954
208,138376.86041794697
1679,111117.0566451629
822,351604.5106972576
6,189343.39757250296
1781,445678.49804220744
2397,329168.67877021845
2340,308800.71523158305
1618,168728.96009120432
2843,146108.3812934083
1061,380764.3138749123
2786,117515.64394782767
1935,127331.32848051377
1341,121382.5814294483
521,277998.97416635125
2136,132041.11151784897
996,198834.0649401729
227,140651.97511964303
135,182422.9115565609
1167,163490.34603784452
294,211317.0929497843
1776,206467.08007519296
540,176894.865630789
1717,225813.10061820134
2303,123314.22160888588
116,188986.41417574522
127,136122.34050425325
1371,133720.64719286593
1014,179443.7739312034
1507,83903.21032556429
702,145695.10843326597
750,145236.9594173788
261,137493.0895715195
1559,80805.05799623924
577,215573.54530441482
2812,196617.06733882142
2080,164997.45230980305
1368,102972.40550874345
2376,129703.62899956587
659,95071.05641984992
1235,127594.10577919686
332,81528.03873597801
1917,146034.51019035492
2094,240240.32772557065
1460,263861.1540190192
1471,214770.87393580304
1509,123487.01689472352
1922,133649.5599595149
433,497846.27085974894
460,299476.0532395202
1116,251697.45098773847
1137,172756.13377207992
53,165597.85323586248
2354,276597.8721297121
1475,191131.50805430504
1761,545111.2487330941
842,137144.51788601055
2739,199576.79229477336
2509,160264.35320488657
1007,204444.42745503277
2610,184597.8340772923
1952,67505.9777195208
2719,179850.59275612907
2921,100250.96592135394
1966,139241.1898191849
292,121200.28182254118
1204,194268.59305193712
1829,245830.5548184196
2419,200067.58197169943
391,142520.49141817802
798,113102.53577771556
481,201718.1209719932
193,206424.92567677132
555,112842.35961050575
899,84739.96739487111
2357,180232.29732919275
328,135544.1685720106
1356,99099.99892151613
1154,107200.32486109994
1730,187106.1241570043
2249,146324.44530653924
1119,299024.410660387
2856,149002.32562266532
1394,140356.77404602617
2587,106191.34451162713
61,292933.86118009116
2661,185431.31122660247
2711,128277.79380048541
1147,178837.30293921975
757,136937.30137522458
2623,80559.88715449681
2378,138705.21962222757
1413,135797.1345978251
1722,233480.45565056487
1112,208185.27398146148
1623,196205.17402724197
1201,192008.64739706155
1513,115049.75007969605
957,437623.1194315924
1171,310411.87118877826
1145,201299.08568301355
2726,223781.109876134
703,137675.04480532854
760,96035.30622445684
1964,134377.92927584186
2512,184346.9522967586
159,151914.13799745336
1281,172495.27362990304
468,184772.43162616756
290,109918.86253336846
665,75298.21805464076
1463,259304.29993804178
1792,212796.89328343302
923,155799.42908415984
500,266456.327335051
1408,187729.23642125694
331,73823.44895052051
170,160023.83436066832
2192,103262.80348562248
2571,338372.83250145183
2314,181072.2727714519
2647,79555.38383141266
422,425276.50559518934
2457,377068.55179528357
1838,206715.44909392248
2805,270576.1652250172
1645,158154.04571616495
1711,307039.18927011313
2825,244152.41207142762
322,340113.43491046026
2103,278244.736006679
342,119040.18293980112
600,118673.14722539802
488,168632.35791380948
1725,344728.78683986596
2246,318217.88052051986
2847,159324.4398895413
806,252151.0335564345
530,226771.78552162737
963,196022.97892580833
2678,102472.61803248645
171,87393.53228660354
2401,447584.3049341381
805,228812.0855881343
2259,249405.09130329685
1748,183964.38139568546
1361,143297.2411652503
1677,124618.794506755
1406,157388.60349074518
2322,250923.73621433927
688,151833.65835163242
143,145117.0710149415
804,208153.7931684903
1214,163095.37888987127
2828,161067.70628376372
1999,213712.80118932677
2467,201948.78085667244
2665,164942.32737830444
1538,328823.09679916996
398,117347.82376037347
2822,150403.8122692947
2157,147087.19153695248
1856,192027.04110375425
1269,86759.94998959816
2570,121550.44087297082
2320,235400.83510984317
1517,115485.57746146931
2304,115571.90247400626
1312,88014.6786399712
2012,127041.24373561976
506,244917.20261836855
2865,196366.7947670961
2367,111929.19363393723
554,73597.19798702151
238,137149.92198709713
1954,92987.80233035519
2488,129791.39601135059
2291,94551.14604876249
1969,78751.65281043107
2725,175164.2433673571
1482,152192.56465776887
2763,207942.3027704587
503,247721.4195327119
1584,257895.69593960783
1531,151519.29328859143
2210,160651.9509085284
459,364368.71427089337
556,120375.71362169983
1347,150960.90112392933
1290,70703.38072717421
1388,98781.04242780728
1571,357516.6925385609
2754,215057.06511071
765,152587.12367484273
2494,126189.27517894667
2870,209492.59197446413
7,219680.14647895802
1114,230667.8057855554
2418,290552.756233612
291,149920.89265459246
18,384867.8608723735
39,405770.2529781258
1001,245873.46570055647
2442,231423.67743235716
616,116647.05643065742
2680,43872.46999913042
1414,119284.43545322363
289,144854.74173970387
40,261240.98222835595
860,137037.2417321418
409,132692.1182816721
673,161801.88851507643
2427,185270.06984719323
2036,216156.54737961094
2564,146345.18847340118
642,184787.72257820453
1008,180277.86163436688
1908,168014.08128459132
2519,202669.672173127
1369,80924.1104612483
2855,161126.53704985377
712,82287.7266139773
1943,117071.47782860583
1958,128065.37928548266
107,187111.4938587515
2295,230243.2851495561
704,93028.97715636526
676,125643.50747334237
259,174576.15338490816
93,278751.43031771685
106,246882.63123869215
2315,180545.61078539037
1050,96629.89787578932
1095,219263.56959427244
